home_region,d_1,d_2,d_3,d_4,d_5,d_6,d_7,d_8,d_9,d_10
d_1,0.8603451542857157, 0.8639188514285727, 0.8643598628571441, 0.8643637100000012, 0.8646811357142868, 0.868104137142858, 0.8698627371428578, 0.9499415700000003, 0.9893050057142858, 1.0
d_2,0.000897142852857102, 0.735800714285716, 0.7421941271428586, 0.7623414300000011, 0.8751788657142866, 0.9899482828571438, 0.9935497057142862, 0.9938772800000005, 0.9949607085714289, 1.0
d_3,0.00021383673530611042, 0.011212816322448922, 0.9321524977551027, 0.932333349795919, 0.9746101006122453, 0.9758535346938778, 0.9983586522448981, 0.9983719618367348, 0.9989099755102042, 1.0
d_4,4.836734693877555e-06, 0.04181518379387754, 0.04202181628367342, 0.9160698732653064, 0.9732597375510206, 0.9996656524489796, 0.9997690785714286, 0.9997690785714286, 0.9997690785714286, 1.0
d_5,0.00013893650746031288, 0.13213206346031758, 0.1801077626190476, 0.20757481065079353, 0.9434074471428576, 0.9797824287301591, 0.9910544769841272, 0.9910677158730161, 0.9918804934920638, 1.0
d_6,0.001257547622380935, 0.12361964315000011, 0.12445966507857148, 0.13843030941666662, 0.16900945144047594, 0.9697638571428576, 0.9704670500000004, 0.9709359761904766, 0.9718879283333336, 1.0
d_7,0.0008305510238775154, 0.008244000006122354, 0.03221163290612218, 0.032290571355101765, 0.04412210213877513, 0.04512977560612198, 0.9351777961224493, 0.9352557167346942, 0.9441535275510207, 1.0
d_8,0.1033230402938776, 0.10445020445102042, 0.10445740853265308, 0.10445740853265308, 0.10448461220612246, 0.10576834700204077, 0.10595150924693872, 0.9248624291836738, 0.9727440610204083, 1.0
d_9,0.06509724442857145, 0.06943028622448978, 0.07020732591836729, 0.07020732591836729, 0.07177306095918357, 0.07555779553061204, 0.08665967385714257, 0.13552524546938735, 0.9721557755102043, 1.0
d_10,0.004417625003928531, 0.013621464303571367, 0.014935571401785556, 0.015138624991071254, 0.028271571410714017, 0.059307231601785325, 0.1346960892678566, 0.1398958040714279, 0.1511458749642849, 1.0
